产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->酱油,大众酱油,双鸭山市三利商城商老二干调批发,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,350ml/袋,兴源,黑龙江省集贤县兴源酿造厂,,双鸭山市三利商城商老二干调批发,,黑龙江市场监管局,,2015-01-07,氨基酸态氮,0g/100mL,,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75545
调味品-->酱油,老母油（酱油）,双鸭山市三利商城商老二干调批发,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,350ml/袋,双鹤,黑龙江省集贤县兴源酿造厂,,双鸭山市三利商城商老二干调批发,,黑龙江市场监管局,,2015-01-07,氨基酸态氮,0.12g/100mL,,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75546
调味品-->酱油,黄豆酱油,伊春市南岔区家佳乐超市,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,400ml/袋,墙外红,黑龙江省伊春市林城食品厂,,伊春市南岔区家佳乐超市,,黑龙江市场监管局,,2015-01-07,氨基酸态氮,0.02g/100mL,,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75547
调味品-->酱油,黄豆酱油,伊春市南岔区家佳乐超市,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,400ml/袋,墙外红,黑龙江省伊春市林城食品厂,,伊春市南岔区家佳乐超市,,黑龙江市场监管局,,2015-01-07,铵盐,0.5,≤30%,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75548
调味品-->香辛料调味品,纯花椒粉,青岛润泰事业有限公司佳木斯分公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,30g/袋,含怡食品,沈阳含饴食品有限公司,,青岛润泰事业有限公司佳木斯分公司,,黑龙江市场监管局,,2015-01-07,铅,6.8mg/kg,≤3mg/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75549
调味品-->香辛料调味品,花椒粉,　佳木斯市荣发商贸有限责任公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,30g/袋,　南益,邢台市南益食品有限公司,,　佳木斯市荣发商贸有限责任公司,,黑龙江市场监管局,,2015-01-07,铅,4mg/kg,≤3mg/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75550
调味品-->酱油,草菇老抽,苏波副食店,湖北市场监管局,不合格,2015-01-12,第四批,/,乡远（高盐稀态）,南阳界中龙泉米醋调料厂,河南省南阳宛城区瓦店镇界中街,苏波副食店,襄州区双沟镇建设路,湖北市场监管局,,2015-01-12,氨基酸态氮,,,,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75419
调味品-->酱油,草菇老抽,苏波副食店,湖北市场监管局,不合格,2015-01-12,第四批,/,乡远（高盐稀态）,南阳界中龙泉米醋调料厂,河南省南阳宛城区瓦店镇界中街,苏波副食店,襄州区双沟镇建设路,湖北市场监管局,,2015-01-12,苯甲酸,,,,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75420
调味品-->食醋,白醋,保康县寺坪镇情缘超市,湖北市场监管局,不合格,2015-01-12,第四批,800mL/瓶,乡远,南阳市乡远调味品有限公司,宛城区瓦店镇界中,保康县寺坪镇情缘超市,保康县寺坪镇大宏街52号,湖北市场监管局,,2015-01-12,苯甲酸,,,,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75423
调味品-->食醋,老陈醋,洪湖市螺山新联村李国华,湖北市场监管局,不合格,2015-01-12,第四批,800ml/瓶,东彭,山西风味武汉市慈惠酱品调料有限公司,吴家山台商投资区,洪湖市螺山新联村李国华,洪湖市新联村,湖北市场监管局,,2015-01-12,总酸（以乙酸计）,,,,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75426
